"","UNIVERSITY.NAME","STATUS","TARGET.MAJOR","TERM","GRE.Q.","GRE.V.","GRE.AWA.","GRE.TOTAL.","TOEFL","UG.COLLEGE","UG.MAJOR","CGPA","PAPERS","WORK.EXPERIENCE.M."
"1","University of Texas, Austin","Admit","Civil Engineering","Fall 2018",170,149,3,319,88,"IIT Bombay","Civil Engineering",7.39,0,0
"2","Penn State Harrisburg","Admit","Computer Science","Fall 2016",170,162,4,332,110,"IIT Bombay","Computer Science",8.93,0,0
"3","University of Massachusetts, Amherst","Admit","Chemical Engineering","Fall 2019",170,153,4.5,323,104,"IIT Bombay","Chemical Engineering",7.04,0,18
"4","University of Texas, Dallas","Admit","Computer Science","Fall 2019",168,149,3,317,106,"IIT Bombay","Electrical Engineering",7.07,0,0
"5","University of Washington","Admit","Electrical Engineering","Fall 2018",170,168,4.5,338,116,"IIT Bombay","Computer Science",9.14,0,0
"6","The University of Chicago","Admit","AI_ML_DS","Fall 2019",169,156,4,325,113,"IIT Bombay","Physics",7.39,0,0
"7","University of Texas, Austin","Reject","Aerospace Engineering","Fall 2020",167,157,4,324,113,"IIT Bombay","Aeronautical Engineering",7.65,0,27
"8","North Carolina State University","Reject","Computer Science","Fall 2013",164,161,3,325,110,"IIT Bombay","Computer Science",7.56,0,0
"9","Duke University","Reject","Computer Science","Fall 2019",170,150,3.5,320,106,"IIT Bombay","Civil Engineering",7.43,0,0
"10","University of Wisconsin, Madison","Reject","Computer Science","Fall 2020",170,166,4,336,113,"IIT Bombay","Computer Science",6.98,0,18
"11","Arizona State University","Admit","Computer Science","Fall 2019",161,151,3.5,312,96,"IIT Bombay","Computer Science",7.5,0,0
"12","Stanford University","Reject","Computer Science","Fall 2017",168,155,4,323,114,"IIT Bombay","Computer Science",8.4,0,0
"13","New York University","Reject","AI_ML_DS","Fall 2020",168,153,3.5,321,105,"IIT Bombay","Chemical Engineering",7.53,2,66
"14","University of Wisconsin, Madison","Admit","Mechanical Engineering","Fall 2017",170,153,4,323,110,"IIT Bombay","Chemical Engineering",7.9,0,0
"15","University of Maryland, College Park","Reject","Mechanical Engineering","Fall 2018",168,158,4.5,326,114,"IIT Bombay","Mechanical Engineering",7.88,0,0
"16","Indiana University - Purdue University, Indianapolis","Admit","Computer Science","Fall 2019",161,151,3.5,312,96,"IIT Bombay","Computer Science",7.5,0,0
"17","Northwestern University","Admit","AI_ML_DS","Fall 2017",170,158,4,328,107,"IIT Bombay","Chemical Engineering",7.56,0,18
"18","University of California, San Diego","Reject","Computer Science","Fall 2017",168,155,4,323,114,"IIT Bombay","Computer Science",8.4,0,0
"19","University of Texas, Austin","Reject","Civil Engineering","Fall 2016",170,164,4,334,119,"IIT Bombay","Civil Engineering",9.67,0,0
"20","University of Texas, Dallas","Admit","Computer Science","Fall 2013",164,161,3,325,110,"IIT Bombay","Computer Science",7.56,0,0
"21","New York University","Reject","AI_ML_DS","Fall 2019",170,150,3.5,320,106,"IIT Bombay","Civil Engineering",7.43,0,0
"22","University of Florida, Gainesville","Admit","Chemical Engineering","Fall 2018",168,147,3.5,315,96,"IIT Bombay","Chemical Engineering",7.17,0,0
"23","University of Texas, Austin","Reject","Computer Science","Fall 2017",168,155,4,323,114,"IIT Bombay","Computer Science",8.4,0,0
"24","University of Southern California","Reject","Computer Science","Fall 2020",168,158,3,326,109,"IIT Bombay","Electrical Engineering",6.42,0,18
"25","University of Texas, Dallas","Admit","Business Studies","Fall 2018",170,151,4,321,107,"IIT Bombay","Civil Engineering",7.73,0,0
"26","University of California, San Diego","Admit","Computer Science","Fall 2020",169,154,3,323,108,"IIT Bombay","Electrical Engineering",8.66,0,43
"27","Columbia University","Reject","AI_ML_DS","Fall 2019",169,163,4,332,114,"IIT Bombay","Electrical Engineering",6.17,0,56
"28","University of Florida, Gainesville","Reject","Computer Science","Fall 2019",161,151,3.5,312,96,"IIT Bombay","Computer Science",7.5,0,0
"29","University of Massachusetts, Amherst","Admit","Computer Science","Fall 2020",168,161,3,329,109,"IIT Bombay","Mechanical Engineering",9.04,0,0
"30","University of Colorado, Boulder","Admit","Mechanical Engineering","Fall 2018",166,155,4,321,107,"IIT Bombay","Mechanical Engineering",8.12,0,0
"31","Georgia Institute of Technology","Reject","Computer Science","Fall 2018",170,154,4,324,109,"IIT Bombay","Electrical Engineering",6.87,0,0
"32","University of Florida, Gainesville","Admit","Computer Science","Fall 2019",168,149,3,317,106,"IIT Bombay","Electrical Engineering",7.07,0,0
"33","University of California, Davis","Admit","Civil Engineering","Fall 2013",170,149,4.5,319,110,"IIT Bombay","Civil Engineering",8,0,0
"34","Rutgers University, Newark","Admit","Business Studies","Fall 2019",168,152,3.5,320,95,"IIT Bombay","Chemical Engineering",6.49,0,2
"35","Virginia Tech University","Admit","Civil Engineering","Fall 2017",167,166,4,333,111,"IIT Bombay","Civil Engineering",8.69,0,6
