,UNIVERSITY NAME,STATUS,TARGET MAJOR,TERM,GRE(Q),GRE(V),GRE(AWA),GRE(TOTAL),TOEFL IELTS,UG COLLEGE,UG MAJOR,CGPA,PAPERS,WORK EXPERIENCE
1,"University of Texas, Austin",Admit,Civil Engineering,Fall 2018,170,149,3,319,88,IIT Bombay,Civil Engineering,7.39,N/A,0 Mo
2,Stanford University,Reject,Mechanical Engineering,Fall 2018,170,154,4,324,N/A,IIT Bombay,Mechanical Engineering,7.61,N/A,0 Mo
3,Penn State Harrisburg,Admit,Computer Science,Fall 2016,170,162,4,332,110,IIT Bombay,Computer Science,8.93,N/A,0 Mo
4,"University of Massachusetts, Amherst",Admit,Chemical Engineering,Fall 2019,170,153,4.5,323,104,IIT Bombay,Chemical Engineering,7.04,0,18 Mo
5,"University of Texas, Dallas",Admit,Computer Science,Fall 2019,168,149,3,317,106,IIT Bombay,EEE,7.07,N/A,0 Mo
6,University of Washington,Admit,Electrical Engineering,Fall 2018,170,168,4.5,338,116,IIT Bombay,Information Technology,9.14,N/A,0 Mo
7,The University of Chicago,Admit,Data Analytics,Fall 2019,169,156,4,325,113,IIT Bombay,Physics,7.39,N/A,0 Mo
8,"University of Texas, Austin",Reject,Aerospace Engineering,Fall 2020,167,157,4,324,113,IIT Bombay,Aeronautical Engineering,7.65,N/A,27 Mo
9,North Carolina State University,Reject,Computer Engineering,Fall 2013,164,161,3,325,110,IIT Bombay,Computer Science,7.56,N/A,0 Mo
10,Duke University,Reject,Computer Science,Fall 2019,170,150,3.5,320,106,IIT Bombay,Civil Engineering,7.43,N/A,0 Mo
11,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2020,170,166,4,336,113,IIT Bombay,Computer Science,6.98,0,18 Mo
12,Arizona State University,Admit,Computer Science,Fall 2019,161,151,3.5,312,96,IIT Bombay,Computer Science,75,N/A,0 Mo
13,Stanford University,Reject,Computer Science,Fall 2017,168,155,4,323,114,IIT Bombay,Computer Science,8.4,N/A,0 Mo
14,New York University,Reject,Data Science,Fall 2020,168,153,3.5,321,105,IIT Bombay,Chemical Engineering,7.53,2,66 Mo
15,"University of Wisconsin, Madison",Admit,Industrial Engineering,Fall 2017,170,153,4,323,110,IIT Bombay,Chemical Engineering,7.9,N/A,0 Mo
16,"University of Maryland, College Park",Reject,Mechanical Engineering,Fall 2018,168,158,4.5,326,114,IIT Bombay,Mechanical Engineering,7.88,N/A,0 Mo
17,"Indiana University - Purdue University, Indianapolis",Admit,Computer & Information Science,Fall 2019,161,151,3.5,312,96,IIT Bombay,Computer Science,75,N/A,0 Mo
18,"Texas A&M University, College Station",Admit,Chemical Engineering,Fall 2018,170,163,3.5,333,N/A,IIT Bombay,Chemical Engineering,8.33,0,0 Mo
19,Northwestern University,Admit,Data Analytics,Fall 2017,170,158,4,328,107,IIT Bombay,Chemical Engineering,7.56,N/A,18 Mo
20,"University of California, San Diego",Reject,Computer Science,Fall 2017,168,155,4,323,114,IIT Bombay,Computer Science,8.4,N/A,0 Mo
21,"University of Texas, Austin",Reject,Civil Engineering,Fall 2016,170,164,4,334,119,IIT Bombay,Civil Engineering,9.67,N/A,0 Mo
22,"University of Texas, Dallas",Admit,Computer Science,Fall 2013,164,161,3,325,110,IIT Bombay,Computer Science,7.56,N/A,0 Mo
23,New York University,Reject,Data Science,Fall 2019,170,150,3.5,320,106,IIT Bombay,Civil Engineering,7.43,N/A,0 Mo
24,"University of Florida, Gainesville",Admit,Chemical Engineering,Fall 2018,168,147,3.5,315,96,IIT Bombay,Chemical Engineering,7.17,N/A,0 Mo
25,"University of Texas, Austin",Reject,Computer Engineering,Fall 2017,168,155,4,323,114,IIT Bombay,Computer Science,8.4,N/A,0 Mo
26,University of Southern California,Reject,Computer Science,Fall 2020,168,158,3,326,109,IIT Bombay,EEE,6.42,0,18 Mo
27,"University of Texas, Dallas",Admit,Business Analytics,Fall 2018,170,151,4,321,107,IIT Bombay,Civil Engineering,7.73,N/A,0 Mo
28,"University of California, San Diego",Admit,Computer Science,Fall 2020,169,154,3,323,108,IIT Bombay,ECE,8.66,N/A,43 Mo
29,Columbia University,Reject,Data Science,Fall 2019,169,163,4,332,114,IIT Bombay,EEE,6.17,N/A,56 Mo
30,"Texas A&M University, College Station",Reject,Mechanical Engineering,Fall 2017,170,164,N/A,334,112,IIT Bombay,Mechanical Engineering,8.48,N/A,0 Mo
31,"University of Florida, Gainesville",Reject,Computer Science,Fall 2019,161,151,3.5,312,96,IIT Bombay,Computer Science,75,N/A,0 Mo
32,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,168,161,3,329,109,IIT Bombay,Mechanical Engineering,9.04,0,0 Mo
33,Virginia Tech University,Admit,Mechanical Engineering,Fall 2017,170,164,N/A,334,112,IIT Bombay,Mechanical Engineering,8.48,N/A,0 Mo
34,"University of Colorado, Boulder",Admit,Mechanical Engineering,Fall 2018,166,155,4,321,107,IIT Bombay,Mechanical Engineering,8.12,N/A,0 Mo
35,Georgia Institute of Technology,Reject,Electrical & Computer Engineering,Fall 2018,170,154,4,324,109,IIT Bombay,ECE,6.87,N/A,0 Mo
36,"University of Florida, Gainesville",Admit,Computer Science,Fall 2019,168,149,3,317,106,IIT Bombay,EEE,7.07,N/A,0 Mo
37,"University of California, Davis",Admit,Civil & Environmental Engineering,Fall 2013,170,149,4.5,319,110,IIT Bombay,Civil Engineering,8,N/A,0 Mo
38,"Rutgers University, Newark",Admit,Finance,Fall 2019,168,152,3.5,320,95,IIT Bombay,Chemical Engineering,6.49,0,2 Mo
39,Virginia Tech University,Admit,Civil & Environmental Engineering,Fall 2017,167,166,4,333,111,IIT Bombay,Civil Engineering,8.69,N/A,6 Mo
40,"Purdue University, West Lafayette",Admit,Civil Engineering,Fall 2016,170,164,4,334,119,IIT Bombay,Civil Engineering,9.67,N/A,0 Mo
41,Johns Hopkins University,Reject,Civil Engineering,Fall 2013,170,149,4.5,319,110,IIT Bombay,Civil Engineering,8,N/A,0 Mo
42,North Carolina State University,Reject,Computer Science,Fall 2019,166,153,3,319,103,IIT Bombay,Computer Science,7.15,0,42 Mo
43,"University of California, Los Angeles",Admit,Computer Science,Fall 2017,168,155,4,323,114,IIT Bombay,Computer Science,8.4,N/A,0 Mo
44,Pennsylvania State University,Reject,Mechanical Engineering,Fall 2017,170,164,N/A,334,112,IIT Bombay,Mechanical Engineering,8.48,N/A,0 Mo
45,Arizona State University,Admit,Business Analytics,Fall 2017,169,146,3,315,N/A,IIT Bombay,Chemical Engineering,7,N/A,0 Mo
46,University of Pennsylvania,Reject,Robotics,Fall 2020,168,157,4.5,325,105,IIT Bombay,Mechanical Engineering,8.77,0,0 Mo
47,University of Southern California,Reject,Computer Science,Fall 2020,170,166,4,336,113,IIT Bombay,Computer Science,6.98,0,18 Mo
48,"University of Michigan, Ann Arbor",Reject,Data Science,Fall 2020,168,153,3.5,321,105,IIT Bombay,Chemical Engineering,7.53,2,66 Mo
49,University of Southern California,Admit,Electrical Engineering,Fall 2020,170,157,4,327,113,IIT Bombay,EEE,8.5,N/A,0 Mo
50,Northwestern University,Reject,Artificial Intelligence,Fall 2020,168,153,3.5,321,105,IIT Bombay,Chemical Engineering,7.53,2,66 Mo
51,Georgia Institute of Technology,Reject,Data Analytics,Fall 2017,170,158,4,328,107,IIT Bombay,Chemical Engineering,7.56,N/A,18 Mo
52,University of Toronto,Admit,Civil Engineering,Fall 2020,159,151,N/A,310,103,IIT Bombay,Civil Engineering,8.66,N/A,0 Mo
53,"University of Texas, Austin",Admit,Civil Engineering,Fall 2017,167,166,4,333,111,IIT Bombay,Civil Engineering,8.69,N/A,6 Mo
54,Arizona State University,Admit,Computer Science,Fall 2016,170,162,4,332,110,IIT Bombay,Computer Science,8.93,N/A,0 Mo
55,Simon Fraser University,Reject,Big Data,Fall 2019,161,151,3.5,312,96,IIT Bombay,Computer Science,75,N/A,0 Mo
56,The University of Chicago,Admit,Computer Science,Fall 2020,168,153,3.5,321,105,IIT Bombay,Chemical Engineering,7.53,2,66 Mo
57,"University of California, San Diego",Reject,Mechanical Engineering,Fall 2018,170,154,4,324,N/A,IIT Bombay,Mechanical Engineering,7.61,N/A,0 Mo
58,"University of Illinois, Urbana Champaign",Reject,Civil Engineering,Fall 2020,167,150,3.5,317,105,IIT Bombay,Mechanical Engineering,6.5,N/A,0 Mo
59,"University of Maryland, College Park",Reject,Computer Science,Fall 2020,170,166,4,336,113,IIT Bombay,Computer Science,6.98,0,18 Mo
60,University of Washington,Reject,Computer Science,Fall 2017,168,155,4,323,114,IIT Bombay,Computer Science,8.4,N/A,0 Mo
61,"University of California, Los Angeles",Admit,Civil Engineering,Fall 2017,167,166,4,333,111,IIT Bombay,Civil Engineering,8.69,N/A,6 Mo
62,"University of Texas, Austin",Reject,Business Analytics,Fall 2017,170,158,4,328,107,IIT Bombay,Chemical Engineering,7.56,N/A,18 Mo
63,Johns Hopkins University,Reject,Computer Science,Fall 2019,170,150,3.5,320,106,IIT Bombay,Civil Engineering,7.43,N/A,0 Mo
64,"University of Illinois, Chicago",Admit,Mechanical Engineering,Fall 2020,167,150,3.5,317,105,IIT Bombay,Mechanical Engineering,6.5,N/A,0 Mo
65,Carnegie Mellon University,Admit,Electrical & Computer Engineering,Fall 2020,170,157,4,327,113,IIT Bombay,EEE,8.5,N/A,0 Mo
66,"University of Maryland, College Park",Admit,Electrical & Computer Engineering,Fall 2020,170,158,3,328,106,IIT Bombay,EEE,8.43,N/A,0 Mo
67,Georgia Institute of Technology,Admit,Data Analytics,Fall 2019,164,167,4.5,331,118,IIT Bombay,Statistics,8.72,N/A,0 Mo
68,"University of Texas, Austin",Admit,Computer Science,Fall 2018,170,159,4,329,112,IIT Bombay,Computer Science,9,N/A,0 Mo
69,"University of Michigan, Ann Arbor",Reject,Data Science,Fall 2019,169,163,4,332,114,IIT Bombay,EEE,6.17,N/A,56 Mo
70,University of Southern California,Admit,Electrical Engineering,Fall 2020,170,162,5,332,115,IIT Bombay,EEE,9.6,N/A,0 Mo
71,Massachusetts Institute of Technology,Reject,Mechanical Engineering,Fall 2020,168,157,4.5,325,105,IIT Bombay,Mechanical Engineering,8.77,0,0 Mo
72,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,169,154,3,323,108,IIT Bombay,ECE,8.66,N/A,43 Mo
73,Ohio State University,Admit,Mechanical Engineering,Fall 2018,166,155,4,321,107,IIT Bombay,Mechanical Engineering,8.12,N/A,0 Mo
74,North Carolina State University,Reject,Data Analytics,Fall 2019,169,156,4,325,113,IIT Bombay,Physics,7.39,N/A,0 Mo
75,Cornell University,Reject,Computer Science,Fall 2017,168,155,4,323,114,IIT Bombay,Computer Science,8.4,N/A,0 Mo
76,Massachusetts Institute of Technology,Reject,Computer Science,Fall 2019,170,161,3.5,331,108,IIT Bombay,Computer Science,8.7,N/A,0 Mo
77,"University of Minnesota, Twin Cities",Admit,Business Analytics,Fall 2020,170,159,3.5,329,115,IIT Bombay,Civil Engineering,6.9,N/A,8 Mo
78,Georgia Institute of Technology,Reject,Computer Science,Fall 2020,168,153,3.5,321,105,IIT Bombay,Chemical Engineering,7.53,2,66 Mo
79,Columbia University,Reject,Management Science and Engineering,Fall 2017,170,153,4,323,110,IIT Bombay,Chemical Engineering,7.9,N/A,0 Mo
80,Stanford University,Reject,Electrical Engineering,Fall 2017,170,153,4,323,110,IIT Bombay,Chemical Engineering,7.9,N/A,0 Mo
81,Stanford University,Admit,Electrical Engineering,Fall 2020,170,162,5,332,115,IIT Bombay,EEE,9.6,N/A,0 Mo
82,Tufts University,Admit,Mechanical Engineering,Fall 2016,170,154,4.5,324,108,IIT Bombay,Mechanical Engineering,6.62,N/A,0 Mo
83,"University of Texas, Austin",Reject,Mechanical Engineering,Fall 2018,168,158,4.5,326,114,IIT Bombay,Mechanical Engineering,7.88,N/A,0 Mo
84,"University of Illinois, Urbana Champaign",Reject,Mechanical Engineering,Fall 2018,168,158,4.5,326,114,IIT Bombay,Mechanical Engineering,7.88,N/A,0 Mo
85,"University of California, San Diego",Admit,Electrical & Computer Engineering,Fall 2020,170,157,4,327,113,IIT Bombay,EEE,8.5,N/A,0 Mo
86,"University of California, Los Angeles",Reject,Computer Science,Fall 2020,169,154,3,323,108,IIT Bombay,ECE,8.66,N/A,43 Mo
87,University of Iowa,Admit,Mechanical Engineering,Fall 2020,167,150,3.5,317,105,IIT Bombay,Mechanical Engineering,6.5,N/A,0 Mo
88,University of Notre Dame,Reject,Civil Engineering,Fall 2020,167,150,3.5,317,105,IIT Bombay,Mechanical Engineering,6.5,N/A,0 Mo
89,"University of Michigan, Ann Arbor",Admit,Electrical & Computer Engineering,Fall 2020,170,157,4,327,113,IIT Bombay,EEE,8.5,N/A,0 Mo
90,New York University,Admit,Information Systems,Fall 2013,164,161,3,325,110,IIT Bombay,Computer Science,7.56,N/A,0 Mo
91,Cornell University,Reject,Civil & Environmental Engineering,Fall 2013,170,149,4.5,319,110,IIT Bombay,Civil Engineering,8,N/A,0 Mo
92,"University of Michigan, Ann Arbor",Reject,Industrial Engineering,Fall 2017,170,153,4,323,110,IIT Bombay,Chemical Engineering,7.9,N/A,0 Mo
93,"University of Michigan, Ann Arbor",Reject,Robotics,Fall 2020,168,157,4.5,325,105,IIT Bombay,Mechanical Engineering,8.77,0,0 Mo
94,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2019,161,151,3.5,312,96,IIT Bombay,Computer Science,75,N/A,0 Mo
95,University of Cincinnati,Admit,Business Analytics,Fall 2018,170,151,4,321,107,IIT Bombay,Civil Engineering,7.73,N/A,0 Mo
96,Carnegie Mellon University,Reject,Computer Science,Fall 2019,166,153,3,319,103,IIT Bombay,Computer Science,7.15,0,42 Mo
97,"University of Texas, Austin",Reject,Business Analytics,Fall 2019,169,163,4,332,114,IIT Bombay,EEE,6.17,N/A,56 Mo
98,"University of California, San Diego",Admit,Computer Science,Fall 2019,169,164,4,333,118,IIT Bombay,Computer Science,9.15,N/A,0 Mo
99,Stanford University,Reject,Civil & Environmental Engineering,Fall 2013,170,149,4.5,319,110,IIT Bombay,Civil Engineering,8,N/A,0 Mo
100,"University of North Carolina, Charlotte",Admit,Finance,Fall 2019,168,152,3.5,320,95,IIT Bombay,Chemical Engineering,6.49,0,2 Mo
101,"State University of New York, Buffalo",Admit,Computer Science,Fall 2020,170,154,4,324,106,IIT Delhi,Computer Science,7.26,N/A,0 Mo
102,Carnegie Mellon University,Admit,Electrical & Computer Engineering,Spring 2017,170,164,4,334,108,IIT Delhi,EEE,7.92,N/A,0 Mo
103,Duke University,Admit,Computer Science,Fall 2016,170,157,3,327,103,IIT Delhi,EEE,7.36,N/A,0 Mo
104,Johns Hopkins University,Reject,Computer Science,Fall 2019,170,159,4,329,105,IIT Delhi,EEE,7.95,N/A,0 Mo
105,"Purdue University, West Lafayette",Admit,Electrical & Computer Engineering,Spring 2017,170,164,4,334,108,IIT Delhi,EEE,7.92,N/A,0 Mo
106,"University of Texas, Austin",Admit,Computer Science,Fall 2017,168,156,3,324,100,IIT Delhi,Computer Science,8.26,N/A,0 Mo
107,National University Of Singapore,Reject,Civil Engineering,Fall 2020,170,149,3,319,93,IIT Delhi,Civil Engineering,8.12,0,15 Mo
108,Kent State University,Reject,Computer Science,Spring 2017,154,146,3,300,91,IIT Delhi,Information Technology,79,N/A,0 Mo
109,"University of Alabama, Birmingham",Admit,Computer Science,Spring 2017,154,146,3,300,91,IIT Delhi,Information Technology,79,N/A,0 Mo
110,"Texas A&M University, College Station",Admit,Computer Science,Fall 2020,169,156,4,325,110,IIT Delhi,EEE,8.1,1,29 Mo
111,"University of Michigan, Ann Arbor",Reject,Computer Science,Fall 2018,170,161,3.5,331,113,IIT Delhi,ECE,8.2,N/A,19 Mo
112,University of British Columbia,Admit,Data Science,Fall 2019,170,148,3,318,7.5,IIT Delhi,Textile Engineering,7.95,N/A,42 Mo
113,University of Iowa,Admit,Computer Science,Fall 2017,165,152,3,317,108,IIT Delhi,Computer Science,81.39,N/A,0 Mo
114,"University of Texas, Dallas",Admit,Computer Science,Fall 2020,170,154,4,324,106,IIT Delhi,Computer Science,7.26,N/A,0 Mo
115,"University of Michigan, Dearborn",Reject,Industrial and Systems Engineering,Spring 2019,163,150,3,313,N/A,IIT Delhi,Chemical Engineering,6.5,N/A,0 Mo
116,"Texas A&M University, College Station",Admit,Computer Science,Fall 2018,169,149,3.5,318,102,IIT Delhi,Computer Science,7.96,N/A,0 Mo
117,Princeton University,Reject,Computer Science,Fall 2018,170,162,N/A,332,112,IIT Delhi,Mathematics,9.38,N/A,0 Mo
118,Stanford University,Reject,Civil & Environmental Engineering,Fall 2020,170,149,3,319,93,IIT Delhi,Civil Engineering,8.12,0,15 Mo
119,Virginia Tech University,Admit,Civil & Environmental Engineering,Fall 2017,160,154,4,314,114,IIT Delhi,Civil Engineering,85,N/A,0 Mo
120,"University of Texas, Austin",Reject,Civil Engineering,Fall 2017,170,152,3.5,322,100,IIT Delhi,Civil Engineering,8.33,2,0 Mo
121,"University of California, Irvine",Reject,Electrical Engineering,Fall 2016,170,157,3,327,103,IIT Delhi,EEE,7.36,N/A,0 Mo
122,"University of California, Los Angeles",Reject,Computer Science,Fall 2017,168,156,3,324,100,IIT Delhi,Computer Science,8.26,N/A,0 Mo
